epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68858,2.08624,3.86911,1.78359,0.00236,0.90556,0.02454,0.01024,0.8931,6.59012,0.78935,0.00012861,0.00012861,0.00012861
2,2.83691,1.73771,3.32526,1.43909,0.0041,0.90185,0.17626,0.08423,0.84517,6.42568,0.73852,0.000266134,0.000266134,0.000266134
3,3.96613,1.67974,2.62036,1.38617,0.00601,0.90185,0.23813,0.1114,0.69341,6.10094,0.65104,0.000397999,0.000397999,0.000397999
4,5.02658,1.57406,2.13228,1.28373,0.00733,0.90741,0.38035,0.19108,0.76672,5.41483,0.68862,0.000524206,0.000524206,0.000524206
5,6.07817,1.586,2.00378,1.27659,1,0.05131,0.39598,0.18831,0.84144,4.93571,0.69012,0.000644753,0.000644753,0.000644753
6,7.1169,1.67621,1.76904,1.33842,0.59871,0.10896,0.23974,0.09889,0.95393,4.60833,0.76474,0.000759642,0.000759642,0.000759642
7,8.17853,1.58526,1.91713,1.32385,0.62567,0.19847,0.42586,0.19605,0.85508,4.46454,0.82837,0.000868872,0.000868872,0.000868872
8,9.22061,1.57308,1.86801,1.34623,0.56835,0.53426,0.53208,0.26601,0.79232,3.96863,0.75496,0.000972443,0.000972443,0.000972443
9,10.248,1.60197,1.84275,1.35277,0.51476,0.58113,0.44566,0.20726,0.93612,4.18014,0.77332,0.00107036,0.00107036,0.00107036
10,11.2697,1.57797,1.73266,1.36389,0.53788,0.51111,0.50917,0.2214,0.89216,6.07163,0.8274,0.00116261,0.00116261,0.00116261
11,12.2869,1.51654,1.78456,1.32548,0.52602,0.37942,0.40984,0.21189,0.95117,11.3645,0.81343,0.00114606,0.00114606,0.00114606
12,13.3149,1.64523,1.70832,1.423,0.59178,0.66732,0.69306,0.38218,0.71097,4.09406,0.70806,0.00111776,0.00111776,0.00111776
13,14.3937,1.53826,1.64322,1.37815,0.57866,0.56871,0.59492,0.33902,0.68244,3.61694,0.68586,0.00108947,0.00108947,0.00108947
14,15.4103,1.58342,1.69919,1.3664,0.3477,0.45185,0.3906,0.20065,0.74674,3.64436,0.7046,0.00106118,0.00106118,0.00106118
15,16.4427,1.49652,1.53145,1.28908,0.27309,0.4926,0.36856,0.14765,0.8694,3.83606,0.78944,0.00103288,0.00103288,0.00103288
16,17.6036,1.4643,1.50283,1.25756,0.19751,0.4537,0.20099,0.10574,0.84008,4.30645,0.80371,0.00100459,0.00100459,0.00100459
17,18.5775,1.4812,1.56753,1.29171,0.20727,0.38704,0.19623,0.08362,0.89445,4.63752,0.78855,0.000976293,0.000976293,0.000976293
18,19.5683,1.47169,1.59956,1.29192,0.73774,0.46041,0.56973,0.26912,0.80823,5.28049,0.80597,0.000947999,0.000947999,0.000947999
19,20.5489,1.46756,1.502,1.31053,0.78754,0.58889,0.68873,0.35367,0.80405,5.97396,0.76984,0.000919704,0.000919704,0.000919704
20,21.5573,1.42557,1.53657,1.29967,0.54399,0.65112,0.57367,0.25246,0.90777,12.5058,0.80438,0.00089141,0.00089141,0.00089141
21,22.5298,1.47447,1.42637,1.2671,0.33383,0.46034,0.31357,0.12852,0.99753,19.2916,0.84398,0.000863116,0.000863116,0.000863116
22,23.5149,1.37261,1.39346,1.24959,0.52996,0.35741,0.41254,0.19121,0.8996,12.6907,0.76329,0.000834822,0.000834822,0.000834822
23,24.5407,1.43381,1.40322,1.26838,0.72158,0.38648,0.43248,0.25496,0.81898,7.83712,0.75999,0.000806528,0.000806528,0.000806528
