epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.79359,1.96495,3.23971,1.84757,0.39211,0.55,0.33285,0.16876,0.71033,49.8411,0.71649,0.00012861,0.00012861,0.00012861
2,13.8531,1.6762,2.13891,1.48199,0.25918,0.36482,0.18753,0.07966,0.99221,25.4366,1.03385,0.000266134,0.000266134,0.000266134
3,21.3115,1.54568,2.13584,1.38941,0.54967,0.30556,0.09419,0.0307,0.889,35.1797,0.90702,0.000397999,0.000397999,0.000397999
4,29.7894,1.51704,1.8408,1.42186,0.13628,0.27778,0.0423,0.01379,1.28878,433.194,1.17144,0.000524206,0.000524206,0.000524206
5,38.3371,1.72738,2.53435,1.557,0.01618,0.35,0.01131,0.00335,1.61929,758.706,2.53609,0.000644753,0.000644753,0.000644753
6,45.2017,1.70837,2.19865,1.47858,0.00107,0.02778,0.00136,0.00021,2.1544,954.735,2.53828,0.000759642,0.000759642,0.000759642
7,51.9708,1.76772,2.1756,1.6258,0.00219,0.37037,0.00283,0.00046,1.95236,2307,3.87361,0.000868872,0.000868872,0.000868872
8,58.7993,1.78146,2.08985,1.6596,0.01601,0.19259,0.01023,0.00269,1.67592,1985.05,3.65076,0.000972443,0.000972443,0.000972443
9,67.0703,1.86151,2.10731,1.69449,0.0069,0.11111,0.0139,0.00212,1.91202,2180.13,18.7184,0.00107036,0.00107036,0.00107036
10,76.0216,1.80857,2.17559,1.60069,0.07255,0.41296,0.02317,0.00987,1.59243,5296.43,223.899,0.00116261,0.00116261,0.00116261
11,82.4933,1.77887,2.26423,1.59001,0.11936,0.24444,0.08137,0.0191,1.13961,237.488,7.32995,0.00114606,0.00114606,0.00114606
12,89.4237,1.78804,2.18089,1.61587,0.0087,0.26481,0.00515,0.00175,1.46105,1163.85,10.4378,0.00111776,0.00111776,0.00111776
13,96.0932,1.65107,1.98466,1.52686,0.48247,0.05556,0.05591,0.02127,1.52373,730.956,4.51137,0.00108947,0.00108947,0.00108947
14,102.749,1.71288,1.90763,1.57837,0.09737,0.05556,0.04791,0.00914,1.45124,580.328,3.76155,0.00106118,0.00106118,0.00106118
15,109.297,1.68824,1.79853,1.57531,0.0396,0.25,0.0064,0.00434,1.4043,11310.8,542.397,0.00103288,0.00103288,0.00103288
16,115.995,1.5287,1.63697,1.41261,0.15945,0.16667,0.04316,0.02362,1.5922,1349.25,136.602,0.00100459,0.00100459,0.00100459
17,122.755,1.66269,1.77233,1.52306,0.49203,0.05556,0.0462,0.02508,1.65804,208.292,51.0463,0.000976293,0.000976293,0.000976293
18,130.255,1.68466,1.7863,1.53735,0.10261,0.09259,0.0401,0.01248,1.39963,87.709,9.90456,0.000947999,0.000947999,0.000947999
19,136.778,1.62435,1.80603,1.50375,0.55156,0.09259,0.05066,0.01447,1.8062,9.62697,8.45231,0.000919704,0.000919704,0.000919704
20,143.435,1.63058,1.66554,1.52953,0.28376,0.05556,0.05983,0.03992,1.5582,6.4533,2.55985,0.00089141,0.00089141,0.00089141
21,149.925,1.55471,1.55362,1.44418,0.88209,0.11111,0.09479,0.04228,1.34811,3.83215,1.47058,0.000863116,0.000863116,0.000863116
22,156.539,1.4867,1.51471,1.42372,0.57658,0.27778,0.30413,0.15141,0.95749,4.46687,1.0559,0.000834822,0.000834822,0.000834822
23,163.08,1.55938,1.52338,1.47227,0.57731,0.29785,0.27813,0.12435,0.89587,6.87558,1.01837,0.000806528,0.000806528,0.000806528
24,169.754,1.55205,1.52448,1.43185,0.50497,0.44751,0.47232,0.21179,0.98947,5.76534,1.06886,0.000778233,0.000778233,0.000778233
25,176.531,1.52139,1.51542,1.41724,0.49538,0.53125,0.56551,0.26062,0.9895,2.2124,1.03025,0.000749939,0.000749939,0.000749939
26,183.428,1.53232,1.4828,1.40302,0.89098,0.48539,0.59609,0.31124,0.80471,2.16899,0.89615,0.000721645,0.000721645,0.000721645
27,190.133,1.49007,1.47139,1.37746,0.6832,0.53148,0.63534,0.3412,0.84233,4.99102,0.91187,0.000693351,0.000693351,0.000693351
28,196.995,1.48852,1.5096,1.41736,0.65007,0.52593,0.6063,0.31024,0.89261,10.9358,0.98083,0.000665057,0.000665057,0.000665057
29,203.554,1.46638,1.46874,1.40238,0.67718,0.61604,0.63189,0.29387,0.90202,2.91239,0.98075,0.000636762,0.000636762,0.000636762
30,210.208,1.36723,1.40101,1.37837,0.85772,0.55176,0.70087,0.38558,0.80311,1.83357,0.93279,0.000608468,0.000608468,0.000608468
31,216.831,1.3786,1.43414,1.32684,0.91087,0.52222,0.69131,0.3963,0.76492,1.7734,0.91641,0.000580174,0.000580174,0.000580174
32,223.925,1.40668,1.35599,1.36415,0.75621,0.62037,0.73555,0.39764,0.76492,1.52496,0.90812,0.00055188,0.00055188,0.00055188
33,230.556,1.37914,1.36853,1.36467,0.74307,0.82342,0.80564,0.45567,0.6955,1.30179,0.86834,0.000523586,0.000523586,0.000523586
34,237.387,1.32365,1.32209,1.35324,0.68024,0.73155,0.80132,0.45256,0.72127,1.42937,0.88334,0.000495291,0.000495291,0.000495291
35,244.006,1.30528,1.3258,1.35913,0.65065,0.69,0.71009,0.39653,0.80905,1.48569,0.9096,0.000466997,0.000466997,0.000466997
36,250.73,1.37507,1.45815,1.40007,0.69991,0.76111,0.67433,0.38716,0.79764,1.64824,0.8653,0.000438703,0.000438703,0.000438703
37,257.527,1.34483,1.24509,1.32698,0.71428,0.62222,0.69354,0.40536,0.79962,1.53607,0.89365,0.000410409,0.000410409,0.000410409
38,264.185,1.34351,1.23353,1.36349,0.72943,0.60582,0.71405,0.38747,0.79156,1.49429,0.89429,0.000382115,0.000382115,0.000382115
39,270.707,1.32009,1.16507,1.34752,0.78114,0.74301,0.82561,0.482,0.71754,1.51524,0.85522,0.00035382,0.00035382,0.00035382
40,277.641,1.43593,1.24893,1.3695,0.70302,0.78856,0.80895,0.47786,0.69527,1.24073,0.8489,0.000325526,0.000325526,0.000325526
41,305.122,1.39542,1.2444,1.50144,0.83404,0.77634,0.83334,0.47617,0.73292,1.27111,0.88158,0.000297232,0.000297232,0.000297232
42,311.855,1.30343,1.1795,1.40292,0.66773,0.73152,0.74923,0.43119,0.73949,1.27591,0.87702,0.000268938,0.000268938,0.000268938
43,318.357,1.28107,1.13066,1.39554,0.83257,0.75926,0.78637,0.4597,0.69946,1.27678,0.83655,0.000240644,0.000240644,0.000240644
44,324.939,1.31509,1.10451,1.42,0.88679,0.72551,0.82046,0.48852,0.69752,1.18079,0.83109,0.000212349,0.000212349,0.000212349
45,331.619,1.24005,1.03155,1.36346,0.84893,0.80642,0.83531,0.50218,0.66076,1.1399,0.82279,0.000184055,0.000184055,0.000184055
46,338.349,1.17116,1.052,1.33923,0.80991,0.79665,0.79856,0.49466,0.65471,1.18372,0.82472,0.000155761,0.000155761,0.000155761
47,344.841,1.24789,1.0189,1.36906,0.72982,0.82241,0.76257,0.46199,0.66007,1.19962,0.823,0.000127467,0.000127467,0.000127467
48,351.547,1.18753,1.01185,1.33309,0.74831,0.82401,0.77571,0.45961,0.64954,1.1818,0.8125,9.91726e-05,9.91726e-05,9.91726e-05
49,358.153,1.1997,1.00271,1.34255,0.75533,0.83333,0.7933,0.47388,0.65842,1.1224,0.80848,7.08784e-05,7.08784e-05,7.08784e-05
50,365.295,1.23461,0.99533,1.37305,0.75296,0.83333,0.78957,0.49311,0.64397,1.06168,0.79275,4.25842e-05,4.25842e-05,4.25842e-05
