epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88297,2.12197,3.81624,1.83766,0.00276,0.86296,0.05655,0.03045,2.09644,3.74809,1.66967,5.716e-05,5.716e-05,5.716e-05
2,3.40708,1.82162,3.58035,1.58651,0.00293,1,0.19719,0.10675,1.58402,3.51263,1.24164,0.000126064,0.000126064,0.000126064
3,4.82829,1.63694,3.17223,1.42054,0.00254,0.97222,0.31745,0.19078,1.47273,3.44196,1.18191,0.000192138,0.000192138,0.000192138
4,6.24973,1.5755,2.45414,1.37837,0.00288,0.91111,0.30121,0.15303,1.90275,3.48732,1.55745,0.000255382,0.000255382,0.000255382
5,7.67084,1.4781,2.25822,1.36535,0.00333,0.79444,0.29883,0.15997,1.87955,3.42167,1.44578,0.000315798,0.000315798,0.000315798
6,9.08411,1.50659,2.01569,1.29187,0.00488,0.82778,0.39521,0.22236,1.68936,3.31992,1.41284,0.000373383,0.000373383,0.000373383
7,10.5206,1.44578,1.908,1.27691,0.57522,0.07037,0.33057,0.15045,1.90965,3.40071,1.61046,0.00042814,0.00042814,0.00042814
8,11.9563,1.45403,1.83719,1.28917,0.00522,0.85556,0.2429,0.12377,2.15376,3.38726,1.75579,0.000480067,0.000480067,0.000480067
9,13.3771,1.38577,1.65574,1.23589,0.00331,0.72222,0.31912,0.15856,2.29442,3.59577,2.0064,0.000529164,0.000529164,0.000529164
10,14.7864,1.49076,1.78652,1.30549,0.68964,0.101,0.43907,0.22142,1.66513,3.07781,1.34216,0.000575433,0.000575433,0.000575433
11,16.1707,1.46768,1.68992,1.3335,0.6102,0.23143,0.39328,0.21578,1.45704,3.26782,1.41363,0.000618871,0.000618871,0.000618871
12,17.5758,1.48802,1.74235,1.30311,0.24067,0.40741,0.26189,0.1552,1.74955,3.73303,1.84992,0.000659481,0.000659481,0.000659481
13,19.0279,1.38237,1.59183,1.23979,0.1381,0.50556,0.21866,0.09355,1.87305,3.66819,1.91489,0.000697261,0.000697261,0.000697261
14,20.4177,1.48111,1.55378,1.28542,0.58875,0.11084,0.21924,0.08273,2.01885,3.52183,2.02459,0.000732211,0.000732211,0.000732211
15,21.8242,1.42128,1.57971,1.27301,0.6287,0.1979,0.31014,0.11802,2.44587,3.66033,2.18107,0.000764332,0.000764332,0.000764332
16,23.2155,1.44755,1.60003,1.29185,0.71088,0.14815,0.23668,0.11066,2.45508,3.27849,1.94667,0.000793624,0.000793624,0.000793624
17,24.6076,1.50317,1.59763,1.27444,0.56191,0.21296,0.32979,0.16168,1.97285,2.92972,1.58807,0.000820086,0.000820086,0.000820086
18,26.0178,1.37232,1.50422,1.21893,0.39081,0.23306,0.30289,0.11515,1.79623,2.81982,1.46749,0.000843719,0.000843719,0.000843719
19,27.442,1.40492,1.56171,1.2589,0.24117,0.43148,0.25914,0.12403,1.66568,3.07877,1.36045,0.000864522,0.000864522,0.000864522
20,28.8432,1.40762,1.45235,1.24043,0.26102,0.3435,0.20071,0.11272,1.62025,3.18963,1.39659,0.000882496,0.000882496,0.000882496
21,30.2318,1.49726,1.54194,1.3123,0.29024,0.35556,0.19998,0.0947,1.67023,3.0576,1.45074,0.000863116,0.000863116,0.000863116
22,31.6518,1.42807,1.55414,1.27689,0.31075,0.36667,0.33571,0.13625,2.04871,2.81756,1.67213,0.000834822,0.000834822,0.000834822
23,33.0628,1.43403,1.40454,1.25333,0.41898,0.35741,0.36064,0.12885,2.18385,2.94931,1.8604,0.000806528,0.000806528,0.000806528
24,34.5741,1.28948,1.3923,1.21184,0.65766,0.36296,0.46343,0.21228,1.79874,3.44358,1.51905,0.000778233,0.000778233,0.000778233
25,36.0821,1.33595,1.48993,1.23258,0.53099,0.61971,0.59701,0.33431,1.55069,2.61059,1.40898,0.000749939,0.000749939,0.000749939
26,37.5636,1.38583,1.37855,1.30813,0.20065,0.43333,0.28923,0.18988,1.67463,3.28467,1.53631,0.000721645,0.000721645,0.000721645
27,38.9731,1.26408,1.31562,1.2049,0.61008,0.28333,0.27115,0.16317,1.8481,3.44661,1.65275,0.000693351,0.000693351,0.000693351
28,40.3746,1.3982,1.31248,1.25811,0.56237,0.57222,0.55869,0.30762,1.6833,2.64366,1.53284,0.000665057,0.000665057,0.000665057
29,41.8455,1.32919,1.31328,1.19498,0.54546,0.61481,0.59338,0.34524,1.62149,2.73776,1.43413,0.000636762,0.000636762,0.000636762
30,43.3088,1.25007,1.28861,1.18685,0.75281,0.65185,0.72535,0.40233,1.66152,1.98098,1.46135,0.000608468,0.000608468,0.000608468
31,44.7424,1.27412,1.21623,1.19232,0.6958,0.73671,0.69065,0.3505,1.71022,1.8479,1.46533,0.000580174,0.000580174,0.000580174
32,46.2023,1.26559,1.23103,1.20438,0.70494,0.73006,0.71657,0.34218,1.69022,1.76015,1.47237,0.00055188,0.00055188,0.00055188
33,47.6495,1.28971,1.28265,1.20149,0.66565,0.67593,0.69855,0.3911,1.59791,1.74072,1.37676,0.000523586,0.000523586,0.000523586
34,49.0863,1.27698,1.19016,1.20168,0.85162,0.75918,0.85263,0.49686,1.5588,1.48286,1.29977,0.000495291,0.000495291,0.000495291
35,50.5782,1.2347,1.15926,1.18373,0.83918,0.80556,0.82552,0.46665,1.4653,1.46035,1.26015,0.000466997,0.000466997,0.000466997
36,52.0542,1.18424,1.17461,1.14498,0.79496,0.74275,0.79412,0.42317,1.56978,1.53473,1.33411,0.000438703,0.000438703,0.000438703
37,53.5217,1.17071,1.17203,1.16404,0.8349,0.69339,0.7776,0.44711,1.48662,1.54284,1.39803,0.000410409,0.000410409,0.000410409
38,54.9616,1.23422,1.21061,1.17408,0.73415,0.75926,0.80736,0.51225,1.4747,1.51284,1.42787,0.000382115,0.000382115,0.000382115
39,56.4237,1.17659,1.12885,1.13931,0.8868,0.70429,0.81362,0.51439,1.43649,1.48505,1.35533,0.00035382,0.00035382,0.00035382
40,57.9069,1.17403,1.10277,1.1636,0.8108,0.75487,0.79601,0.51061,1.40461,1.443,1.28216,0.000325526,0.000325526,0.000325526
41,80.122,1.14882,1.20145,1.14792,0.87986,0.74803,0.82922,0.50932,1.427,1.40826,1.30959,0.000297232,0.000297232,0.000297232
42,81.5247,1.08324,1.23355,1.12582,0.91514,0.89377,0.93102,0.56202,1.46405,1.30709,1.32018,0.000268938,0.000268938,0.000268938
43,82.9185,1.13186,1.23386,1.1727,0.92244,0.91025,0.942,0.55052,1.44757,1.26099,1.30238,0.000240644,0.000240644,0.000240644
44,84.4447,1.08664,1.03512,1.11209,0.80095,0.9321,0.88688,0.54606,1.3661,1.21686,1.26817,0.000212349,0.000212349,0.000212349
45,85.8228,1.04432,1.01854,1.09735,0.88225,0.80423,0.87364,0.55369,1.34985,1.24007,1.27231,0.000184055,0.000184055,0.000184055
46,87.2358,1.06756,1.01215,1.07671,0.8868,0.77475,0.85903,0.53315,1.29412,1.26751,1.22915,0.000155761,0.000155761,0.000155761
47,88.6262,1.03313,1.03023,1.09253,0.88365,0.78098,0.85062,0.51894,1.30373,1.25399,1.20524,0.000127467,0.000127467,0.000127467
48,90.019,1.11106,1.04498,1.1434,0.88671,0.80894,0.8779,0.54161,1.31753,1.19356,1.17801,9.91726e-05,9.91726e-05,9.91726e-05
49,91.4434,1.01208,0.9702,1.06548,0.89556,0.81138,0.87733,0.54279,1.3333,1.17641,1.19152,7.08784e-05,7.08784e-05,7.08784e-05
50,92.8512,1.02459,1.0324,1.09937,0.90157,0.81147,0.90691,0.56971,1.32507,1.1386,1.18922,4.25842e-05,4.25842e-05,4.25842e-05
