epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49399,2.21595,3.86285,1.85001,0.51916,0.14009,0.15422,0.0588,2.13607,3.35744,1.83912,5.716e-05,5.716e-05,5.716e-05
2,7.06247,1.89427,2.67026,1.57718,0.27276,0.33288,0.22552,0.10642,1.67252,3.20929,1.47059,0.000126064,0.000126064,0.000126064
3,10.6358,1.62606,2.0148,1.43007,0.26258,0.3538,0.21242,0.08076,1.69035,3.99149,1.44065,0.000192138,0.000192138,0.000192138
4,14.0923,1.5316,1.92209,1.37924,0.3739,0.51296,0.39592,0.24273,1.64858,3.69255,1.40637,0.000255382,0.000255382,0.000255382
5,17.5056,1.56585,1.90324,1.42975,0.43106,0.5,0.40517,0.22196,1.79517,3.42289,1.4202,0.000315798,0.000315798,0.000315798
6,20.8914,1.48482,1.8361,1.28911,0.43491,0.41852,0.17344,0.08033,1.87199,16.7252,1.53215,0.000373383,0.000373383,0.000373383
7,24.3236,1.45947,1.74445,1.30544,0.17841,0.63148,0.13317,0.04381,2.25383,19.7863,2.07587,0.00042814,0.00042814,0.00042814
8,27.804,1.49688,1.65632,1.35043,0.30684,0.29444,0.11733,0.02351,2.48508,581.963,2.38822,0.000480067,0.000480067,0.000480067
9,31.26,1.43205,1.55142,1.28632,0.16073,0.40216,0.11275,0.02553,2.8189,76.8628,2.78531,0.000529164,0.000529164,0.000529164
10,34.7143,1.54865,1.63221,1.34485,0.16784,0.37222,0.13952,0.0382,3.28086,24.1678,3.82252,0.000575433,0.000575433,0.000575433
11,38.0729,1.51897,1.52632,1.39108,0.12555,0.50185,0.27065,0.09805,2.59416,12.1611,2.34829,0.000618871,0.000618871,0.000618871
12,42.4362,1.54568,1.51274,1.39542,0.13145,0.14815,0.10998,0.03517,2.011,5.60537,1.56526,0.000659481,0.000659481,0.000659481
13,46.2638,1.48253,1.41068,1.36446,0.26186,0.24259,0.15409,0.04508,2.16017,3.20199,1.60329,0.000697261,0.000697261,0.000697261
14,50.9372,1.54309,1.425,1.36366,0.36248,0.36261,0.36516,0.14073,2.34295,2.69353,2.16806,0.000732211,0.000732211,0.000732211
15,54.7466,1.44579,1.38466,1.34164,0.44176,0.26111,0.31063,0.11648,2.43241,2.92557,2.46653,0.000764332,0.000764332,0.000764332
16,59.4182,1.48398,1.40738,1.36457,0.54147,0.3362,0.35342,0.10042,2.80318,2.67952,2.75969,0.000793624,0.000793624,0.000793624
17,63.0656,1.53342,1.40218,1.34142,0.52646,0.3808,0.37592,0.08962,2.60444,2.72733,2.49424,0.000820086,0.000820086,0.000820086
18,68.0313,1.44467,1.34157,1.28916,0.77846,0.22778,0.27595,0.12251,2.17473,4.29667,2.1749,0.000843719,0.000843719,0.000843719
19,71.5137,1.43253,1.40817,1.34537,0.13949,0.56667,0.33351,0.15434,2.17684,6.03538,2.37429,0.000864522,0.000864522,0.000864522
20,76.2287,1.43786,1.33546,1.35539,0.3861,0.37778,0.38018,0.15319,2.16438,3.08423,2.50216,0.000882496,0.000882496,0.000882496
21,79.6056,1.48643,1.35771,1.4031,0.40766,0.3221,0.40865,0.16253,2.07517,3.08649,2.4688,0.000863116,0.000863116,0.000863116
22,83.945,1.46123,1.34255,1.35627,0.66315,0.45,0.49658,0.18793,2.02536,3.45844,2.49652,0.000834822,0.000834822,0.000834822
23,87.335,1.40439,1.21183,1.30326,0.66182,0.33889,0.37869,0.15654,2.28043,3.08,2.77369,0.000806528,0.000806528,0.000806528
24,91.7066,1.31313,1.27974,1.30488,0.679,0.25926,0.41852,0.19316,2.11409,4.69939,2.4171,0.000778233,0.000778233,0.000778233
25,95.4946,1.38556,1.23469,1.33297,0.72658,0.62428,0.66689,0.30223,1.81385,2.45626,2.1589,0.000749939,0.000749939,0.000749939
26,100.516,1.37984,1.1352,1.39093,0.64257,0.69405,0.66295,0.29029,1.88354,2.65434,2.18013,0.000721645,0.000721645,0.000721645
27,104.335,1.25824,1.09365,1.25656,0.44964,0.57222,0.50034,0.18767,2.19264,3.00966,2.4674,0.000693351,0.000693351,0.000693351
28,109.189,1.40777,1.15435,1.31159,0.54576,0.53569,0.49686,0.22309,2.08765,5.30699,2.47187,0.000665057,0.000665057,0.000665057
29,112.685,1.2924,1.14705,1.25118,0.68785,0.62151,0.60095,0.33321,1.70061,1.91624,2.04342,0.000636762,0.000636762,0.000636762
30,117.166,1.27718,1.15996,1.30055,0.72273,0.60741,0.69733,0.34589,1.69582,1.57017,1.91032,0.000608468,0.000608468,0.000608468
31,120.678,1.34387,1.07057,1.28189,0.71798,0.67663,0.67238,0.38734,1.58596,1.40207,1.7893,0.000580174,0.000580174,0.000580174
32,125.188,1.28895,1.08684,1.27072,0.57818,0.79444,0.66356,0.36836,1.55382,1.37561,1.64957,0.00055188,0.00055188,0.00055188
33,128.435,1.36658,1.14816,1.34129,0.62468,0.66111,0.71116,0.41545,1.50826,1.55296,1.60235,0.000523586,0.000523586,0.000523586
34,132.962,1.3058,1.05307,1.27512,0.59774,0.75181,0.69025,0.36655,1.6637,1.66309,1.70971,0.000495291,0.000495291,0.000495291
35,136.355,1.21219,0.98967,1.23299,0.61357,0.75741,0.68207,0.35039,1.60935,1.45666,1.6777,0.000466997,0.000466997,0.000466997
36,140.678,1.25114,1.08769,1.22279,0.6032,0.72222,0.69281,0.35583,1.58185,1.52309,1.7899,0.000438703,0.000438703,0.000438703
37,144.066,1.25381,1.07892,1.25825,0.74509,0.67731,0.6883,0.36193,1.57186,1.45848,1.78547,0.000410409,0.000410409,0.000410409
38,148.405,1.2776,1.03489,1.25316,0.72058,0.70518,0.71944,0.40115,1.51098,1.4567,1.79302,0.000382115,0.000382115,0.000382115
39,151.781,1.20055,0.95788,1.20964,0.81534,0.68465,0.73082,0.40929,1.57093,1.40402,1.84995,0.00035382,0.00035382,0.00035382
40,156.118,1.16994,0.97305,1.23477,0.80508,0.67407,0.76899,0.40575,1.65448,1.39461,1.86275,0.000325526,0.000325526,0.000325526
41,181.48,1.22971,0.95595,1.30066,0.64915,0.67778,0.64218,0.36804,1.64977,1.5373,1.85308,0.000297232,0.000297232,0.000297232
42,185.871,1.20083,0.94851,1.31353,0.7208,0.65768,0.62507,0.3801,1.54772,1.54343,1.70212,0.000268938,0.000268938,0.000268938
43,189.557,1.13682,0.9543,1.29838,0.79007,0.6928,0.72295,0.45124,1.46925,1.32502,1.65504,0.000240644,0.000240644,0.000240644
44,193.926,1.10573,0.83463,1.26672,0.79357,0.69184,0.76335,0.46591,1.42658,1.34224,1.64172,0.000212349,0.000212349,0.000212349
45,197.51,1.10781,0.79921,1.23974,0.74687,0.75896,0.76601,0.44929,1.41526,1.39426,1.63005,0.000184055,0.000184055,0.000184055
46,201.747,1.10019,0.77019,1.21612,0.70737,0.75937,0.73814,0.43023,1.49973,1.44175,1.6962,0.000155761,0.000155761,0.000155761
47,205.338,1.10972,0.81167,1.25498,0.80226,0.76111,0.77263,0.44586,1.48395,1.32255,1.67943,0.000127467,0.000127467,0.000127467
48,209.586,1.07463,0.79887,1.26885,0.78411,0.75193,0.80609,0.47906,1.42766,1.20782,1.63002,9.91726e-05,9.91726e-05,9.91726e-05
49,213.191,1.02766,0.73719,1.17381,0.828,0.76844,0.82395,0.50371,1.4137,1.16579,1.6079,7.08784e-05,7.08784e-05,7.08784e-05
50,217.494,1.08625,0.7777,1.2272,0.85609,0.7591,0.8359,0.51208,1.40297,1.14299,1.60306,4.25842e-05,4.25842e-05,4.25842e-05
