epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47328,2.15546,3.63596,1.9058,0.19712,0.13889,0.1372,0.0592,1.09811,13.1562,0.8926,0.00012861,0.00012861,0.00012861
2,6.86399,1.73306,2.45528,1.58044,0.18808,0.52593,0.09321,0.03438,1.08238,59.4034,0.78983,0.000266134,0.000266134,0.000266134
3,10.121,1.4741,2.06595,1.36481,0.21629,0.47222,0.20584,0.10943,0.94681,180.279,0.83973,0.000397999,0.000397999,0.000397999
4,13.4374,1.51467,1.9245,1.36454,0.54492,0.3843,0.39604,0.20937,0.85863,18.7854,0.75709,0.000524206,0.000524206,0.000524206
5,16.7091,1.5526,2.08776,1.40034,0.22167,0.70741,0.33697,0.13432,0.99908,80.415,1.03835,0.000644753,0.000644753,0.000644753
6,19.976,1.61534,1.82109,1.42649,0.29869,0.60339,0.34723,0.14302,0.9278,6.06662,0.99746,0.000759642,0.000759642,0.000759642
7,23.2235,1.7265,1.95939,1.54019,0.35486,0.61203,0.27746,0.13155,1.0128,33.5808,1.0321,0.000868872,0.000868872,0.000868872
8,26.4507,1.68018,1.80445,1.58551,0.23056,0.45185,0.1268,0.04859,1.17411,17.1768,1.24703,0.000972443,0.000972443,0.000972443
9,29.7531,1.86505,2.03369,1.64396,0.0275,0.16296,0.01743,0.00653,1.13377,25.6376,1.2457,0.00107036,0.00107036,0.00107036
10,32.9462,1.6666,1.89725,1.5247,0.41565,0.16667,0.10879,0.03665,1.51904,329.553,1.7174,0.00116261,0.00116261,0.00116261
11,36.1022,1.56627,1.79499,1.47496,0.44342,0.12037,0.11108,0.03222,1.34312,47.1014,1.63591,0.00114606,0.00114606,0.00114606
12,39.2917,1.6553,1.67558,1.4845,0.55941,0.22878,0.43364,0.1644,1.02874,71.0646,1.18744,0.00111776,0.00111776,0.00111776
13,42.4473,1.57726,1.60031,1.47522,0.50019,0.38,0.55728,0.21119,1.06175,35.1353,1.14318,0.00108947,0.00108947,0.00108947
