epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.523,1.31832,1.70753,1.41651,0.70773,0.67509,0.73746,0.47195,1.23047,1.43507,1.41755,0.000475697,0.000475697,0.000475697
2,466.827,1.19433,1.41845,1.3486,0.74122,0.68175,0.7691,0.49723,1.20825,1.25734,1.37156,0.000920613,0.000920613,0.000920613
3,694.756,1.15391,1.35636,1.33095,0.71657,0.74752,0.81571,0.57125,1.07264,1.15612,1.36007,0.00133409,0.00133409,0.00133409
4,922.708,1.11227,1.30282,1.3051,0.77269,0.68962,0.78858,0.56218,1.09691,1.22708,1.34145,0.00128753,0.00128753,0.00128753
5,1152.21,1.08592,1.26445,1.29401,0.81065,0.74016,0.85159,0.60606,1.02825,1.05983,1.2865,0.00124037,0.00124037,0.00124037
6,1380.44,1.05773,1.21126,1.28247,0.79116,0.78382,0.86552,0.62552,0.9942,0.9527,1.31693,0.00119322,0.00119322,0.00119322
7,1609.05,1.03378,1.18348,1.26394,0.7913,0.76681,0.86276,0.64294,0.93734,0.93228,1.28428,0.00114606,0.00114606,0.00114606
8,1837.19,1.01701,1.14737,1.25511,0.81048,0.78322,0.86881,0.63325,0.97844,0.90826,1.33091,0.0010989,0.0010989,0.0010989
9,2065.22,1.00018,1.13826,1.25131,0.80633,0.73402,0.84591,0.61264,1.0165,0.98129,1.3648,0.00105174,0.00105174,0.00105174
10,2291.81,0.99639,1.11093,1.24491,0.82166,0.77845,0.87718,0.67165,0.88332,0.86596,1.28234,0.00100459,0.00100459,0.00100459
11,2519.66,0.97634,1.10418,1.23807,0.82168,0.79255,0.88248,0.67373,0.8902,0.82993,1.27303,0.00095743,0.00095743,0.00095743
12,2751.9,0.9707,1.09677,1.23372,0.77515,0.73693,0.83187,0.61877,0.96454,1.06659,1.30784,0.000910273,0.000910273,0.000910273
13,2979.41,0.95709,1.06746,1.22713,0.82875,0.79086,0.89186,0.68248,0.88022,0.81476,1.27421,0.000863116,0.000863116,0.000863116
14,3206.86,0.94128,1.06194,1.21865,0.86014,0.77876,0.89752,0.68934,0.87111,0.81011,1.27881,0.000815959,0.000815959,0.000815959
15,3434.75,0.93746,1.04267,1.21757,0.81254,0.79298,0.88294,0.67353,0.87811,0.82807,1.28358,0.000768802,0.000768802,0.000768802
16,3662.94,0.92928,1.04341,1.21289,0.84939,0.77748,0.89098,0.69064,0.86074,0.81419,1.26601,0.000721645,0.000721645,0.000721645
17,3891.87,0.92287,1.02096,1.20745,0.84069,0.80093,0.89591,0.69929,0.83526,0.77224,1.24044,0.000674488,0.000674488,0.000674488
18,4119.72,0.9041,1.00405,1.19639,0.83835,0.79865,0.89732,0.69855,0.83102,0.77659,1.23068,0.000627331,0.000627331,0.000627331
19,4348,0.89559,0.98694,1.19033,0.84873,0.80232,0.90294,0.70873,0.82228,0.76803,1.25339,0.000580174,0.000580174,0.000580174
20,4575.13,0.88947,0.98676,1.18995,0.85903,0.80215,0.90719,0.71592,0.80017,0.76281,1.23537,0.000533017,0.000533017,0.000533017
21,4824.67,0.85515,0.84355,1.21606,0.85627,0.80406,0.90517,0.71131,0.81715,0.77064,1.24042,0.00048586,0.00048586,0.00048586
22,5051.41,0.82723,0.8082,1.20062,0.84234,0.82425,0.90855,0.72284,0.78981,0.73191,1.22712,0.000438703,0.000438703,0.000438703
23,5280.47,0.81218,0.7857,1.18925,0.84859,0.8331,0.91683,0.73024,0.7841,0.70566,1.23695,0.000391546,0.000391546,0.000391546
24,5507.93,0.79635,0.76422,1.18268,0.84905,0.82806,0.91373,0.72371,0.79164,0.71974,1.22875,0.000344389,0.000344389,0.000344389
25,5736.96,0.78882,0.75004,1.17401,0.85416,0.83288,0.91804,0.7363,0.76052,0.6977,1.21699,0.000297232,0.000297232,0.000297232
26,5965.5,0.77211,0.72744,1.16441,0.86777,0.831,0.92073,0.73896,0.76365,0.68613,1.22043,0.000250075,0.000250075,0.000250075
27,6195.27,0.76432,0.72143,1.16812,0.86269,0.83268,0.92372,0.74178,0.75326,0.67547,1.20166,0.000202918,0.000202918,0.000202918
28,6423.58,0.74837,0.69885,1.15153,0.86936,0.82557,0.92305,0.74603,0.74674,0.67543,1.19423,0.000155761,0.000155761,0.000155761
29,6651.61,0.73677,0.68191,1.14968,0.86437,0.83329,0.92502,0.75156,0.72758,0.65849,1.18894,0.000108604,0.000108604,0.000108604
30,6879.64,0.72611,0.67272,1.14094,0.87371,0.83769,0.92753,0.75266,0.73817,0.65276,1.19608,6.1447e-05,6.1447e-05,6.1447e-05
